# node	type	degree
B1	buyer	7
B100	buyer	7
B1004	buyer	6
B1006	buyer	1
B1007	buyer	2
B101	buyer	3
B1011	buyer	1
B1013	buyer	2
B1018	buyer	3
B1019	buyer	1
B1020	buyer	5
B1025	buyer	5
B1027	buyer	2
B1029	buyer	23
B103	buyer	15
B1032	buyer	4
B1038	buyer	1
B104	buyer	3
B1044	buyer	3
B1045	buyer	3
B105	buyer	1
B1050	buyer	3
B1051	buyer	4
B1056	buyer	1
B1060	buyer	3
B1061	buyer	3
B1062	buyer	2
B1064	buyer	6
B1066	buyer	1
B1070	buyer	10
B1071	buyer	5
B1077	buyer	6
B1084	buyer	25
B1086	buyer	3
B1089	buyer	3
B109	buyer	2
B1090	buyer	2
B1091	buyer	1
B1095	buyer	2
B1096	buyer	3
B1102	buyer	1
B1103	buyer	4
B1107	buyer	2
B1109	buyer	1
B1111	buyer	2
B1112	buyer	4
B1113	buyer	1
B1115	buyer	9
B1117	buyer	2
B1118	buyer	5
B1122	buyer	8
B1125	buyer	13
B1127	buyer	2
B113	buyer	3
B1130	buyer	2
B1131	buyer	1
B1132	buyer	3
B1136	buyer	4
B1137	buyer	8
B1140	buyer	5
B1145	buyer	2
B1148	buyer	10
B115	buyer	1
B1150	buyer	2
B1151	buyer	4
B1152	buyer	11
B1157	buyer	1
B1162	buyer	3
B1165	buyer	4
B1167	buyer	2
B1168	buyer	1
B1176	buyer	2
B1179	buyer	4
B1180	buyer	1
B1183	buyer	4
B1187	buyer	11
B1188	buyer	2
B1189	buyer	1
B1191	buyer	10
B1196	buyer	5
B1198	buyer	2
B1199	buyer	1
B1201	buyer	8
B1202	buyer	13
B1204	buyer	9
B1205	buyer	2
B1218	buyer	17
B1221	buyer	3
B1223	buyer	36
B1227	buyer	2
B1228	buyer	8
B123	buyer	6
B1231	buyer	10
B1233	buyer	4
B1240	buyer	3
B1242	buyer	1
B1244	buyer	1
B1246	buyer	4
B1247	buyer	7
B1249	buyer	1
B125	buyer	1
B1251	buyer	11
B1256	buyer	2
B1258	buyer	7
B1259	buyer	14
B1262	buyer	1
B1265	buyer	2
B1268	buyer	2
B1269	buyer	8
B1273	buyer	1
B128	buyer	2
B1294	buyer	2
B1300	buyer	2
B1301	buyer	16
B1306	buyer	1
B1307	buyer	12
B1309	buyer	3
B1310	buyer	2
B1312	buyer	6
B1314	buyer	14
B1315	buyer	1
B1316	buyer	26
B1317	buyer	6
B1319	buyer	6
B1320	buyer	3
B1322	buyer	1
B1323	buyer	8
B1326	buyer	7
B133	buyer	2
B1334	buyer	6
B1335	buyer	2
B134	buyer	11
B1343	buyer	3
B1346	buyer	10
B135	buyer	7
B1351	buyer	2
B1353	buyer	2
B1354	buyer	1
B1357	buyer	1
B136	buyer	10
B1364	buyer	3
B1371	buyer	5
B1372	buyer	5
B1375	buyer	3
B1376	buyer	6
B1377	buyer	3
B1379	buyer	6
B1380	buyer	9
B1382	buyer	2
B1384	buyer	4
B1387	buyer	13
B1389	buyer	6
B1390	buyer	2
B1404	buyer	3
B1408	buyer	3
B1411	buyer	5
B1418	buyer	3
B1435	buyer	1
B1436	buyer	2
B1443	buyer	16
B1445	buyer	2
B1447	buyer	2
B1452	buyer	5
B1455	buyer	7
B1458	buyer	2
B1459	buyer	4
B1461	buyer	2
B1467	buyer	2
B1469	buyer	6
B1471	buyer	1
B1477	buyer	4
B1479	buyer	2
B1483	buyer	7
B1485	buyer	4
B1486	buyer	7
B1491	buyer	1
B1496	buyer	1
B1498	buyer	7
B1499	buyer	1
B1502	buyer	13
B1516	buyer	29
B1522	buyer	1
B1523	buyer	1
B1525	buyer	2
B1529	buyer	3
B153	buyer	2
B1531	buyer	9
B1532	buyer	5
B1552	buyer	2
B1554	buyer	10
B1556	buyer	2
B1557	buyer	4
B1558	buyer	1
B1562	buyer	3
B1566	buyer	4
B1572	buyer	5
B1574	buyer	1
B1575	buyer	6
B1581	buyer	5
B1586	buyer	8
B1589	buyer	1
B1593	buyer	3
B1596	buyer	2
B1597	buyer	2
B1598	buyer	4
B1599	buyer	2
B1602	buyer	1
B1604	buyer	17
B1608	buyer	2
B1611	buyer	3
B1617	buyer	22
B1618	buyer	1
B1623	buyer	1
B1627	buyer	5
B1628	buyer	1
B1629	buyer	8
B1630	buyer	10
B1635	buyer	1
B1638	buyer	4
B1639	buyer	7
B164	buyer	1
B1648	buyer	4
B1649	buyer	6
B1651	buyer	4
B1654	buyer	1
B1655	buyer	3
B1657	buyer	9
B1659	buyer	4
B1660	buyer	6
B1662	buyer	2
B1663	buyer	2
B1664	buyer	3
B1666	buyer	13
B1668	buyer	2
B1669	buyer	3
B167	buyer	14
B1674	buyer	1
B1677	buyer	1
B1681	buyer	1
B1682	buyer	7
B1684	buyer	10
B1685	buyer	1
B1688	buyer	1
B1689	buyer	5
B1690	buyer	4
B1699	buyer	3
B1701	buyer	3
B1703	buyer	3
B1706	buyer	3
